Size,ijk_time
100,0.001000
120,0.002000
140,0.002000
160,0.004000
180,0.005000
200,0.007000
220,0.007000
240,0.015000
260,0.014000
280,0.016000
300,0.019000
320,0.027000
340,0.033000
360,0.062000
380,0.045000
400,0.056000
420,0.063000
440,0.072000
460,0.084000
480,0.111000
500,0.162000
